frequency_GHz,TE_reflection_real,TE_reflection_imag,TE_reflection_dB,TM_reflection_real,TM_reflection_imag,TM_reflection_dB
11.116000,-0.22108375,-0.062736613,-12.772517,-0.22680153,-0.060066371,-12.592671
11.120000,-0.22234642,-0.061078369,-12.743456,-0.22804173,-0.058353275,-12.564265
11.124000,-0.22359382,-0.059405042,-12.714583,-0.22926594,-0.05662538,-12.536048
11.128000,-0.22482573,-0.057716832,-12.685898,-0.23047394,-0.054882903,-12.508021
11.132000,-0.22604193,-0.056013947,-12.657403,-0.2316655,-0.053126063,-12.480186
11.136000,-0.22724217,-0.054296598,-12.629098,-0.23284041,-0.051355083,-12.452542
11.140000,-0.22842625,-0.052565,-12.600984,-0.23399845,-0.049570192,-12.425092
11.144000,-0.22959395,-0.050819374,-12.573064,-0.23513941,-0.047771622,-12.397836
11.148000,-0.23074504,-0.049059944,-12.545336,-0.23626308,-0.045959612,-12.370775
11.152000,-0.23187932,-0.04728694,-12.517804,-0.23736925,-0.044134401,-12.34391
11.156000,-0.23299659,-0.045500595,-12.490466,-0.23845773,-0.042296235,-12.317241
11.160000,-0.23409664,-0.043701145,-12.463325,-0.23952831,-0.040445363,-12.29077
11.164000,-0.23517928,-0.041888832,-12.43638,-0.24058082,-0.038582039,-12.264497
11.168000,-0.2362443,-0.040063903,-12.409634,-0.24161506,-0.03670652,-12.238423
11.172000,-0.23729153,-0.038226604,-12.383086,-0.24263086,-0.034819065,-12.212549
11.176000,-0.23832077,-0.036377191,-12.356737,-0.24362803,-0.03291994,-12.186875
11.180000,-0.23933185,-0.034515918,-12.330589,-0.24460641,-0.031009411,-12.161402
11.184000,-0.24032459,-0.032643047,-12.304641,-0.24556582,-0.02908775,-12.13613
11.188000,-0.24129882,-0.03075884,-12.278894,-0.24650611,-0.027155231,-12.11106
11.192000,-0.24225438,-0.028863564,-12.25335,-0.24742712,-0.025212132,-12.086193
11.196000,-0.24319111,-0.02695749,-12.228007,-0.2483287,-0.023258732,-12.06153
11.200000,-0.24410884,-0.025040891,-12.202868,-0.2492107,-0.021295315,-12.03707
11.204000,-0.24500744,-0.023114042,-12.177933,-0.25007299,-0.019322166,-12.012814
11.208000,-0.24588675,-0.021177222,-12.153202,-0.25091542,-0.017339575,-11.988762
11.212000,-0.24674664,-0.019230714,-12.128675,-0.25173787,-0.015347832,-11.964916
